price/TB,idle,noise
16.93,4.41,20
17.3,4.38,20
17.43,3.4,23
17.7,4.16,20
17.82,4.35,20
18.17,4.16,20
18.29,4.35,20
18.52,4.14,20
18.59,4,20
19.1,5.7,20
19.22,5.5,20
19.26,4.74,20
19.42,5.74,28
19.49,5.74,28
19.63,5.8,20
19.66,4.54,20
19.74,4.14,20
19.87,5.6,20
19.87,3.4,30
19.93,4.54,20
20.08,4.82,20
20.08,5.6,20
20.09,2.81,24
20.23,4.22,20
20.27,5.5,25
20.29,5.9,25
20.32,3.77,20
20.4,5.6,25
20.4,2.33,22
20.45,6,20
20.49,5.6,25
20.49,5.5,20
20.53,5.74,28
20.56,5.5,28
20.56,6.1,20
20.79,3.77,20
20.92,5.3,20
20.94,2.68,24
21.04,5.8,20
21.22,5.5,28
21.29,5.7,20
21.3,5.3,20
21.32,6,20
21.38,5.5,20
21.45,5.9,25
21.48,2.32,22
21.49,5.8,20
21.5,5.7,20
21.56,4.03,20
21.68,5.8,20
21.82,2.5,23
21.86,5,28
21.86,3.3,20
21.87,4,20
21.87,4.25,20
21.95,5.5,20
22.06,5,20
22.1,3.3,20
22.12,5.9,20
22.2,6.1,20
22.21,5.6,25
22.22,5.61,31
22.25,5.6,20
22.31,6.3,20
22.34,2.5,22
22.43,4.46,20
22.5,4.3,23
22.5,5.2,30
22.53,5.3,20
22.54,6.1,20
22.56,3.77,20
22.69,5.3,28
22.69,6,20
22.72,5.8,20
22.81,2.5,26
22.86,3.3,20
22.98,4.3,23
23.13,4.92,34
23.13,7.15,34
23.19,3.78,20
23.19,3.76,20
23.23,5.61,31
23.24,4.92,34
23.29,5.8,20
23.32,3.6,20
23.32,5.6,20
23.44,2.9,20
23.56,5.8,20
23.57,5.74,34
23.59,5.7,20
23.66,5.6,20
23.67,3.93,20
23.74,4.92,34
23.85,5.74,34
23.86,4.27,20
23.87,5.6,20
23.88,3.4,27
23.89,7.2,28
24.05,5.74,34
24.15,5.3,20
24.3,3.4,24
24.36,5.2,20
24.47,5,20
24.47,5.6,20
24.49,3.4,24
24.5,3.4,23
24.51,4.7,24
24.6,5.74,34
24.82,3.4,26
24.9,7.8,28
24.94,3.6,20
24.98,5,20
25,6.1,20
25.05,5.7,20
25.25,3.9,20
25.29,5.6,20
25.36,8,34
25.53,7.4,29
25.58,3.78,20
25.64,6.15,34
25.65,4.92,34
25.68,5.6,20
25.71,4.6,34
25.81,5.3,20
25.86,3.4,20
25.89,4.14,34
25.91,5.3,20
25.99,5.5,20
