description,price/TB,idle,noise
"Toshiba N300 NAS Systems 20TB, 24/7, 512e / 3.5 / SATA 6Gb/s, bulk - - - HDWG62AUZSVA - - - €338.68",16.93,4.41,20
"Toshiba Cloud-Scale Capacity MG10ACA 20TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - MG10ACA20TE - - - €346",17.3,4.38,20
"Seagate BarraCuda Compute 8TB, 512e / 3.5 / SATA 6Gb/s - - - ST8000DM004 / ST8000DMA04 - - - €139.45",17.43,3.4,23
"Toshiba Cloud-Scale Capacity MG09ACA 18TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - MG09ACA18TE - - - €318.62",17.7,4.16,20
"Toshiba Cloud-Scale Capacity MG10F AFA 22TB, 24/7, 512e/4Kn / 3.5 / SATA 6Gb/s - - - MG10AFA22TE - - - €392",17.82,4.35,20
"Toshiba Cloud-Scale Capacity MG09ACA 16TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - MG09ACA16TE - - - €290.77",18.17,4.16,20
"Toshiba N300 NAS Systems 22TB, 24/7, 512e / 3.5 / SATA 6Gb/s, bulk - - - HDWG62CUZSVA - - - €402.33",18.29,4.35,20
"Toshiba N300 NAS Systems 18TB, 24/7, 512e / 3.5 / SATA 6Gb/s, bulk - - - HDWG51JUZSVA - - - €333.38",18.52,4.14,20
"Toshiba Enterprise Capacity MG08ACA 16TB, 24/7, 512e / 3.5 / SATA 6Gb/s - - - MG08ACA16TE - - - €297.46",18.59,4,20
"Western Digital Ultrastar DC HC570 22TB, SE, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WUH722222ALE6L4 / 0F48155 - - - €420.22",19.1,5.7,20
"Western Digital Ultrastar DC HC580 24TB, SE, 24/7, 512e / 3.5 / SATA 6Gb/s - - - WUH722424ALE6L4 / 0F62796 - - - €461.26",19.22,5.5,20
"Toshiba Cloud-Scale Capacity MG10SCA 20TB, 24/7, 512e / 3.5 / SAS 12Gb/s - - - MG10SCA20TE - - - €385.2",19.26,4.74,20
"Seagate Exos X - X22 20TB, 24/7, 512e/4Kn / 3.5 / SATA 6Gb/s - - - ST20000NM004E - - - €388.3",19.42,5.74,28
